ENG	Ontological_Category	Semantic_Field	CMN 1	CMN 2	CMN 3	CMN 4	CMN 5	NL 1	NL 2	NL 3	NL 4	NL 5	SPA 1	SPA 2	SPA 3	SPA 4	SPA 5	DE 1	DE 2	DE 3	DE 4	DE 5	ENG_Associations	ENG_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	CMN 3_Associations	CMN 3_Association_Freqs	CMN 4_Associations	CMN 4_Association_Freqs	CMN 5_Associations	CMN 5_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	NL 3_Associations	NL 3_Association_Freqs	NL 4_Associations	NL 4_Association_Freqs	NL 5_Associations	NL 5_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs	SPA 3_Associations	SPA 3_Association_Freqs	SPA 4_Associations	SPA 4_Association_Freqs	SPA 5_Associations	SPA 5_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	DE 3_Associations	DE 3_Association_Freqs	DE 4_Associations	DE 4_Association_Freqs	DE 5_Associations	DE 5_Association_Freqs
night	Person/Thing	Time	夜晚	夜	黑夜	晚上		nacht					noche					Nacht					dark; day; sleep; time; stars; evening; moon; light; owl; sky; good; darkness; dream; gown; late; life	52; 31; 21; 18; 17; 14; 14; 10; 8; 7; 5; 4; 3; 3; 3; 3	月亮; 星星; 安静; 晚上; 星空; 黑; 睡觉; 黑夜; 黑暗; 傍晚; 白天; 休息; 半夜	21; 13; 8; 8; 5; 5; 4; 4; 4; 3; 3; 2; 2	黑; 月亮; 月; 星星; 睡觉; 黑暗; 晚上; 夜晚; 日; 冷	16; 11; 8; 7; 7; 6; 4; 3; 3; 2	月亮; 白天; 眼睛; 黑色; 星星; 晚上; 光明; 星空; 睡觉; 黎明; 漆黑; 冷; 夜晚	11; 9; 7; 6; 5; 5; 4; 4; 4; 4; 3; 2; 2	睡觉; 月亮; 吃饭; 星星; 熬夜; 电影; 早上; 看电影; 黑; 下午; 傍晚	20; 13; 6; 5; 5; 4; 3; 3; 3; 2; 2			donker; sterren; slapen; maan; dag; bed; feest; koud; uil; uitgaan; zwart	76; 46; 41; 33; 16; 9; 9; 7; 6; 6; 6									estrellas; oscuridad; luna; día; dormir; oscuro; fiesta; cielo; descanso; frío; paz; silencio	21; 20; 19; 11; 8; 8; 7; 4; 3; 3; 3; 3									dunkel; Sterne; Mond; Tag; schlafen; Schlaf; Dunkel; Dunkelheit; Eule	36; 21; 20; 15; 11; 6; 3; 3; 3								
noise	Person/Thing	Sense perception	噪音					lawaai	geluid	rumoer			ruido					Lärm	geräusch	lärm	Krach		loud; sound; music; annoying; white; ear; static; cacophony; cars; hearing; quiet; bang; children; din; irritating; pollution; racket	53; 23; 13; 10; 9; 8; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	烦躁; 汽车; 装修; 吵; 吵闹; 扰民; 生气; 耳塞; 音乐; 分贝; 施工; 污染; 白噪音; 嘈杂; 噪声	9; 8; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 2; 2									geluid; muziek; luid; oren; fuif; hoofdpijn; feest; roepen; storend; verkeer; kinderen; ambetant; schreeuwen; baby; buren; drilboor; herrie; hinder; irritatie; klas	18; 18; 11; 10; 7; 7; 6; 6; 6; 6; 5; 4; 4; 3; 3; 3; 3; 3; 3; 3	muziek; lawaai; oor; radio; doof; horen; luid; praten; bel; boxen; luisteren; micro; overlast; stilte; decibel; fuif; hard; klank; storend; telefoon	57; 29; 14; 8; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	lawaai; geluid; geroezemoes; drukte; kinderen; klas; herrie; onrust; storend; kabaal; hoofdpijn; mensen; ruzie; achtergrond; aula; cafe; irritant; massa; straat; veel	74; 18; 12; 10; 10; 8; 7; 7; 7; 6; 5; 5; 5; 4; 3; 3; 3; 3; 3; 3					molesto; sonido; fuerte; música; silencio; molestia; alto; barullo; calle; autos; estruendo; gritos; oído; sonoro; bocinas	25; 19; 12; 11; 8; 7; 4; 4; 4; 3; 3; 3; 3; 3; 2									laut; Baustelle; Krach; Geräusch; Laut; Straße; nervig; Stadt; Stress; Verkehr; Flugzeug; Lautstärke	21; 11; 7; 5; 5; 5; 5; 4; 4; 4; 3; 3					Lärm; laut; Streit; Laut; Ärger; Radau; Baustelle; Geräusch; Ruhe; Schlagzeug; streit	30; 18; 12; 5; 5; 4; 3; 3; 3; 3; 3		
normal			正常	常态				normaal					normal					normal					average; usual; abnormal; ordinary; boring; regular; standard; mean; norm; not odd; plain; same; sane; common; orthogonal; paranormal; person; school; strange; temperature	26; 21; 18; 15; 12; 12; 9; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	普通; 不正常; 人; 异常; 反常; 平常; 一般; 寻常	12; 9; 7; 7; 5; 5; 3; 3	日常; 变态; 正常; 生活; 反常; 常识; 水; 经常; 习以为常; 保持; 变量; 固态; 实验	6; 4; 4; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2							gewoon; alledaags; saai; goed; abnormaal; norm; gemiddeld; gezond; niet bijzonder; evident; ik; eenvoudig; gedrag; gewoonlijk; iedereen; juist; mens; onopvallend; school	64; 14; 13; 10; 9; 8; 7; 6; 5; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3									común; anormal; raro; estándar; persona; simple; aburrido; adecuado; corriente; cotidiano; habitual; igual; norma	31; 10; 6; 5; 5; 5; 4; 3; 3; 3; 3; 3; 3									langweilig; Norm; durchschnittlich; Durchschnitt; unnormal; Standard; Xx; abnormal; alltäglich; regulär	16; 10; 9; 7; 4; 3; 3; 3; 3; 3								
north	Person/Thing	Spatial relations	北方	北				noord					norte					Norden	Nord				south; pole; cold; east; west; up; direction; star; compass; snow; top; Arctic; Alaska; ice	62; 27; 23; 23; 19; 18; 11; 8; 6; 6; 6; 4; 3; 3	南方; 冷; 寒冷; 雪; 干燥; 下雪; 东北; 北京; 大雪; 暖气; 雾霾; 人	21; 11; 7; 7; 6; 5; 4; 4; 3; 3; 3; 2	南; 北方; 北京; 东; 方向; 东北; 西; 冷	23; 18; 17; 7; 7; 6; 5; 2							zuid; koud; oost; west; pool; windrichting; kompas; station; ijs; zee; donker; noordpool; wind	68; 31; 29; 28; 16; 11; 8; 7; 6; 6; 5; 5; 5									sur; este; arriba; oeste; brújula; cardinal; polo; punto cardinal; dirección; calor; América; Artigas; destino	39; 14; 11; 10; 8; 7; 6; 6; 5; 4; 3; 3; 3									Süden; kalt; Kompass; Osten; Himmelsrichtung; Westen; Eis; Kalt; Nordsee; Schnee; Hamburg; Kälte; Meer	18; 12; 11; 8; 7; 7; 6; 6; 5; 4; 3; 3; 3	Süd; Ost; Himmelsrichtung; kalt; West; Nordsee; Pol; Kompass; Richtung	29; 13; 12; 12; 11; 5; 5; 4; 3						
nose	Person/Thing	The body	鼻子					neus					nariz					Nase					smell; face; nostril; eyes; big; ear; mouth; hair; snot; ring; sneeze; blow; booger; long; Pinocchio; bleed; head; job; nostrils; pick	37; 35; 12; 11; 9; 9; 9; 7; 7; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3	眼睛; 鼻孔; 呼吸; 耳朵; 嘴巴; 五官; 嘴; 黑头; 鼻梁; 脸; 鼻炎	17; 11; 10; 10; 9; 7; 5; 5; 4; 3; 3									ruiken; zakdoek; snot; gezicht; groot; snuiten; niezen; rood; geur; verkoudheid; verkouden; bloed; dik; ademen; bril; haar; lang; reukorgaan; stank; allergie	26; 20; 19; 17; 11; 11; 10; 9; 8; 8; 7; 6; 6; 4; 4; 4; 4; 4; 4; 3									cara; olfato; boca; mocos; ojo; olor; aire; grande; respiración; respirar; roja; oler; resfrío; larga; payaso	21; 12; 10; 10; 10; 9; 6; 6; 6; 6; 6; 5; 5; 3; 3									Gesicht; riechen; Mund; Schnupfen; Loch; Piercing; schnupfen; Atmen; Brille; Organ; Pickel	22; 15; 8; 8; 4; 4; 4; 3; 3; 3; 3								
note			纸条	便条	音符			notitie	noot				nota					Notiz					music; paper; book; write; pad; letter; memo; pen; take; post-it; worthy; card; jot; message; remember; reminder; love; song; attend	36; 24; 19; 16; 13; 12; 10; 10; 9; 6; 6; 5; 5; 5; 5; 5; 4; 4; 3	上课; 情书; 传; 秘密; 小抄; 白纸; 传递; 便签; 字; 悄悄话; 作弊; 告白; 白色	9; 8; 7; 7; 6; 6; 4; 4; 4; 4; 3; 3; 3	便利贴; 方便; 便签; 黄色; 冰箱; 留言; 纸; 写字; 提醒; 记事; 信息; 冰箱贴	12; 7; 6; 6; 4; 4; 4; 3; 3; 3; 2; 2	音乐; 五线谱; 乐谱; 钢琴; 乐器; 动听; 符号; 旋律; 美妙; 蝌蚪; 跳动	25; 18; 8; 7; 5; 5; 5; 4; 4; 4; 4					boekje; nota; schrijven; pen; agenda; aantekening; papier; opschrijven; vergadering; blad; les; onthouden; blok; post-it; schrift; balpen; krabbel; memo; geheugen	19; 19; 19; 17; 15; 13; 13; 9; 9; 8; 7; 6; 5; 5; 5; 4; 4; 4; 3	muziek; eten; kraken; boom; bruin; hard; walnoot; lekker; okkernoot; notenkraker; herfst; aap; bos; chocolade; eekhoorn; hazelnoot; kastanje; muzieknoot; nood; notenboom	49; 24; 23; 22; 9; 9; 9; 8; 7; 6; 4; 3; 3; 3; 3; 3; 3; 3; 3; 3							música; calificación; papel; musical; apunte; examen; lápiz; calificar; escribir; hoja; importante; mensaje; carta; escritura; excelente; al fin; colegio	14; 11; 11; 10; 6; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 2; 2									Zettel; Stift; Erinnerung; schreiben; Schreiben; aufschreiben; Information; merken; Block; Heft; Info; Papier	18; 14; 9; 7; 5; 5; 4; 4; 3; 3; 3; 3								
novel			小说	新奇				roman					novela					roman	Roman				book; new; story; read; author; pages; fiction; idea; words; chapter; paper; unique; unusual; write	83; 37; 21; 19; 7; 7; 6; 6; 5; 3; 3; 3; 3; 3	言情; 文学; 武侠; 科幻; 情节; 长篇; 阅读; novel; 东野圭吾; 人物; 作者; 侦探; 修真; 同人	10; 6; 5; 5; 4; 3; 3; 2; 2; 2; 2; 2; 2; 2	新颖; 新鲜; 奇特; 好奇; 有趣; 好玩; 事物; 创意; 奇怪; 猎奇; 奇思妙想	11; 10; 9; 9; 7; 5; 4; 4; 4; 4; 3							boek; lezen; liefde; verhaal; schrijver; film; auteur; literatuur; rust; spannend; ontspanning; saai; liefdesverhaal; avontuur; dik	75; 36; 22; 21; 12; 7; 6; 5; 5; 5; 4; 4; 3; 2; 2									libro; televisión; historia; amor; ficción; lectura; cuento; drama; romance; largo; romántica; tarde; tele; actores	33; 12; 11; 8; 6; 6; 5; 5; 5; 3; 3; 3; 3; 2											Buch; lesen; Geschichte; Lesen; Spannung; Autor; Belletristik; Fiktion; Freizeit; Liebe; Romantik; lang	40; 21; 13; 4; 4; 3; 3; 3; 3; 3; 3; 3						
number			数字	号码				nummer	getal				número					Nummer					one; count; math; phone; digit; amount; letter; many; quantity; numeral; arithmetic; house; list; three; two; five; group; how many; identify; integer	34; 23; 14; 14; 11; 10; 10; 7; 7; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3	数学; 计算; 阿拉伯; 字母; 数目; 数数; 游戏; 一; 二; 号码; 大小; 敏感	30; 6; 6; 4; 4; 3; 3; 2; 2; 2; 2; 2	电话; 手机; 数字; Qq; 电话号码; 手机号; 排队; 牌	28; 22; 9; 5; 4; 3; 2; 2							getal; huis; cijfer; telefoon; huisnummer; een; drie; volgorde; gsm; onpersoonlijk; twee; wiskunde; zeven; 1; aantal; letter; lied; lotto; telefoonnummer	24; 24; 23; 23; 12; 7; 6; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4	cijfer; rekenen; wiskunde; nummer; drie; aantal; een; pi; twee; tellen; tien; zeven; geld; lotto; 1; optellen; priemgetal; 10; 2	52; 26; 15; 14; 11; 9; 8; 7; 7; 6; 6; 6; 5; 4; 3; 3; 3; 2; 2							primo; uno; matemática; cantidad; dos; orden; tres; cifra; contar; letra; 2; cuentas; impar; matemáticas; par; real	9; 9; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 4									Zahl; Telefon; Handy; Ziffer; zahl; Hausnummer; Zahlen; Mathe; Rang; Reihenfolge; Haus	26; 20; 5; 5; 5; 4; 4; 3; 3; 3; 2								
oil	Person/Thing	Food and drink	油	石油				olie					aceite	petróleo				Öl					black; olive; spill; car; money; gas; fuel; slick; petroleum; well; drilling; grease; slippery; crude; rig; water; cooking; gasoline; Middle East; petrol	17; 17; 16; 13; 13; 12; 9; 9; 8; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4	水; 汽油; 油腻; 炒菜; 石油; 食用油; 油田; 锅; 加油; 汽车; 润滑; 皮肤; 盐; 花生油	8; 8; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3	贵; 加油站; 资源; 钱; 中东; 大亨; 工人; 汽车; 中国; 沙特阿拉伯; 油田; 燃料; 矿产; 金钱	7; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3							auto; vettig; bakken; koken; vet; vuur; benzine; duur; zwart; eten; olijf; olijfolie; oorlog; vervuiling; vlek; amerika; glad; irak; lamp; olijven	24; 21; 11; 11; 8; 8; 7; 7; 6; 5; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4									oliva; comida; óleo; girasol; agua; ensalada; frito; vinagre; cocinar; freír; papas fritas; sal; auto; de higado; grasoso; líquido	16; 11; 10; 8; 6; 6; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3	combustible; negro; nafta; oro; dinero; recurso; contaminación; gas; guerra; dinosaurios; plástico; riqueza; Venezuela; ANCAP	24; 15; 11; 6; 5; 5; 4; 4; 4; 3; 3; 3; 3; 2							Salat; Oliven; Auto; Essig; Olive; braten; Benzin; Krieg; kochen; Bohrinsel; Essen; Fett; Feuer	11; 9; 8; 5; 5; 4; 3; 3; 3; 2; 2; 2; 2								
old	Property	Time	老的	旧	老	陈旧		oud					viejo					alt					young; new; age; aged; ancient; elderly; man; wrinkles; antique; wise; worn out; decrepit; grandparent; person; dog; fashioned; gray; me; mother; time	32; 21; 20; 16; 15; 10; 10; 9; 8; 7; 6; 5; 5; 5; 4; 3; 3; 3; 3; 3	老人; 人; 新的; 旧的; 少的; 年轻的; 皱纹; 小的; 年幼的; 年轻; 耄耋; 年迈; 年迈的	13; 10; 6; 6; 5; 5; 4; 3; 3; 3; 3; 2; 2	新; 衣服; 书; 老; 陈旧; 人; 回忆; 怀念; 房子	18; 9; 7; 4; 4; 3; 3; 3; 3	老师; 老人; 人; 皱纹; 少; 幼; 死; 年龄; 死亡; 佝偻; 奶奶; 小	12; 11; 7; 6; 4; 4; 4; 3; 3; 2; 2; 2	灰尘; 崭新; 古董; 家具; 老旧; 古老; 房子; 破旧; 破烂; 老; 设施; 书籍	7; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2			oma; bejaard; jong; grootouders; opa; versleten; rimpels; grijs; antiek; pensioen; rusthuis; lelijk; dood; nieuw; wijs; bomma; ervaring	24; 19; 19; 17; 16; 15; 14; 11; 10; 8; 8; 7; 5; 5; 5; 3; 3									antiguo; anciano; nuevo; sabio; abuelo; añejo; bastón; gastado; experiencia; hombre; joven; padre; sabiduría; tiempo; adulto; anticuado; arrugado; año	18; 11; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 2; 2; 2; 2									jung; Großeltern; Oma; neu; Opa; Falten; Tod; erfahren; grau; weise; Krankheit; Mensch	22; 10; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3								
operation			手术	行动	操作	运作		operatie	exploitatie				operación					Operation					surgery; doctor; hospital; game; surgeon; procedure; medical; military; task; cut; scary; heart; plan; scalpel; blood; board	38; 20; 18; 13; 12; 9; 8; 8; 6; 5; 4; 3; 3; 3; 2; 2	医生; 医院; 手术室; 刀; 危险; 外科; 成功; 手术刀; 护士; 病人; 手术台; 无影灯; 人	28; 15; 7; 4; 4; 4; 4; 4; 4; 4; 3; 3; 2	快速; 迅速; 动作; 行为; 执行; 不便; 任务; 动力; 失败; 敏捷; 走路; 迟缓	8; 8; 6; 6; 4; 3; 3; 3; 3; 3; 3; 3	电脑; 实验; 机器; 游戏; 操控; 系统; 键盘; 实验室; 工人; 工厂	10; 9; 9; 5; 4; 4; 4; 3; 3; 2	机器; 系统; 资本; 操作; 运行; 运转; 程序; 运营; 公司; 商业; 工厂; 方法; 机械	10; 6; 6; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3			ziekenhuis; pijn; dokter; chirurg; ziek; bloed; kliniek; narcose; groen; mes; snijden; verdoving; genezen; ingreep; bang; hospitaal; onderneming; ziekte	48; 26; 22; 19; 12; 10; 8; 8; 7; 7; 6; 6; 5; 5; 3; 3; 3; 3									cirugía; matemática; intervención; médico; quirófano; salud; bisturí; cirujano; acción; aritmética; bancaria; doctor; hospital; matemáticas; negocio; quirúrgica	22; 9; 8; 7; 7; 6; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3									Krankenhaus; Arzt; Narkose; Chirurg; Eingriff; Spital; Ärzte; Medizin; Militär	21; 11; 7; 6; 5; 4; 4; 3; 3								
opinion			意见	看法	观点			mening					opinión					Meinung	Meinungsäußerung				thought; idea; belief; fact; argument; mine; bias; onion; newspaper; personal; thoughts; matter; mind; view; editorial; everyone; paper; perspective; politics; state	20; 16; 8; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	建议; 提出; 不合; 不同; 分歧; 反馈; 领袖; 争吵	24; 7; 3; 3; 3; 3; 3; 2	想法; 观点; 意见; 思考; 见解; 一致; 不同; 个人	15; 13; 4; 3; 3; 2; 2; 2	看法; 想法; 不同; 思考; 正确; 矛盾; 立场; 表达; 观念; 论点; 辩论	7; 6; 3; 3; 3; 3; 3; 3; 3; 3; 3					opinie; gedacht; idee; persoonlijk; eigen; discussie; politiek; uiten; krant; oordeel; overtuiging; visie; vrijheid; eerlijk; geven; opkomen; belangrijk; gedachten; geen; luisteren	29; 17; 14; 14; 9; 8; 8; 7; 6; 6; 6; 5; 5; 4; 4; 4; 3; 3; 3; 3									idea; pensamiento; personal; expresión; pensar; decir; palabras; visión; cambio; criterio; dar; debate; dialogo	16; 10; 5; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2									Diskussion; Ansicht; Idee; haben; Politik; Standpunkt; Streit; eigene; meine; Meinungsfreiheit; bilden; eigen; subjektiv; vertreten; Bildung; Debatte	9; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 2; 2	Freiheit; Diskussion; Demokratie; Standpunkt; Demonstration; Meinung; Meinungsfreiheit; Politik; frei; wichtig; Aussage; Dialog; Grundgesetz	9; 5; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2; 2						
opportunity			机会	契机				kans	gelegenheid				oportunidad					Gelegenheit					chance; knocks; job; luck; opening; take; money; work; fortune; good; hope; new; possibility; risk; challenge; door; gift; goal; offer; option	45; 21; 15; 7; 7; 6; 5; 5; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	机遇; 把握; 抓住; 时机; 准备; 工作; 运气; 难得; 努力; 错失; 错过; 创造	13; 12; 11; 8; 6; 6; 5; 5; 4; 4; 4; 3	机会; 机遇; 巧合; 契约; 合适; 机缘; 偶然; 发现; 契丹; 契合	28; 9; 6; 5; 3; 3; 2; 2; 2; 2							geluk; mogelijkheid; lotto; spel; gelegenheid; opportuniteit; gokken; hoop; loterij; gok; grijpen; kaart; keuze; monopoly; toekomst; tweede; benutten; casino; kansspel; pech	27; 27; 20; 16; 9; 7; 6; 5; 5; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3	kans; feest; mogelijkheid; moment; café; dief; opportuniteit; plaats; gebeurtenis; occasie; omstandigheid; restaurant; tijd; bar; de kans; gebruik maken; goed moment; receptie; situatie; vrienden	41; 31; 18; 10; 8; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3							chance; trabajo; momento; posibilidad; suerte; aprovechar; desafío; laboral; ocasión; opción; negocio	31; 8; 6; 6; 6; 5; 5; 5; 5; 5; 3									Chance; nutzen; Möglichkeit; macht Diebe; Dieb; gut; Diebe; Zufall; jetzt; positiv	16; 14; 12; 5; 4; 4; 3; 3; 3; 3								
orchestra			管弦乐队	乐队				orkest					orquesta					Orchester					music; violin; conductor; band; instruments; strings; symphony; classical; opera; cello; stage; tuba; brass; concert; flute; musicians; pit; performance; play; wind	54; 30; 23; 15; 11; 11; 10; 7; 7; 6; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3	萨克斯; 音乐; 乐器; 优雅; 小号; 交响乐; 小提琴; 指挥家; 乐团; 指挥; 演奏; 高雅; orchestra	9; 9; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 2	摇滚; 音乐; 五月天; 主唱; 乐器; 吉他; band; 演唱会; 歌手	11; 9; 7; 6; 5; 5; 4; 4; 3							muziek; dirigent; instrumenten; viool; trompet; fanfare; klassiek; harmonie; saai; drum; groot; mensen; strijkers; veel mensen; blazers; bombastisch; fluit; geluid; gitaar; klarinet	59; 28; 16; 15; 12; 9; 9; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3									música; instrumentos; banda; sinfónica; violín; director; filarmónica; sonido; trombón; armonía; conjunto; grupo; partitura; batuta	35; 16; 7; 7; 7; 6; 4; 4; 4; 3; 3; 3; 3; 2									Musik; Dirigent; Instrumente; Geige; Klassik; Konzert; Oper; Oboe; Saal; Blasinstrumente; Cello	34; 23; 10; 8; 8; 8; 6; 3; 3; 2; 2								
origin			起源					afkomst	oorsprong				origen					Ursprung					beginning; start; species; birth; Darwin; source; Genesis; place; country; first; home; location; original; life; point; root; alpha; ancestry; background; beginnings	44; 30; 20; 12; 8; 8; 6; 6; 5; 5; 5; 5; 5; 3; 3; 3; 2; 2; 2; 2	人类; 物种; 宇宙; 开始; 源头; 历史; 生命; 原始	11; 10; 7; 6; 6; 3; 3; 2									familie; ouders; geboorte; origine; land; stamboom; oorsprong; ras; buitenland; sociaal; adel; herkomst; milieu; moeder; roots; stand; thuis; voorouders; afstamming; etnisch	24; 23; 16; 14; 13; 12; 9; 7; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 3; 3	begin; bron; afkomst; origine; geboorte; ontstaan; geschiedenis; start; herkomst; land; oerknal; aanvang; big bang; ei; verleden; basis; familie	56; 46; 13; 13; 11; 8; 7; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3							principio; inicio; comienzo; nacimiento; lugar; país; procedencia; destino; nativo; película; tierra; ancestro; cultura	17; 15; 12; 12; 5; 5; 5; 4; 4; 4; 4; 3; 3									Herkunft; Anfang; Quelle; Urknall; Beginn; Ei; quelle; Fluss; Geschichte; Ursache; Entstehung	18; 12; 9; 9; 4; 4; 4; 3; 3; 3; 2								
pain	Person/Thing	Emotions and values	疼痛	痛	痛苦	疼	苦痛	pijn					dolor					Schmerzen	Schmerz				hurt; ouch; ache; suffering; headache; injury; agony; wound; neck; back; bad; gain; ill; ow; painful; sad; sadness; sore; sorrow; anguish	46; 19; 9; 9; 7; 7; 5; 5; 4; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 2			疼; 疼痛; 痛苦; 伤口; 痒; 头痛; 打针; 病; 痛经; 苦; 难受; 哭	9; 6; 5; 4; 4; 3; 3; 3; 3; 3; 3; 2	疾病; 生病; 难过; 失恋; 哭泣; 快乐; 苦难; 人生; 减轻; 孤独	6; 5; 5; 4; 3; 3; 3; 2; 2; 2	痛; 受伤; 伤口; 疼痛; 生病; 医院; 痛经; 针; 难受; 啊; 头疼; 心疼	16; 11; 10; 6; 4; 3; 3; 3; 3; 2; 2; 2	痛苦; 折磨; 悲伤; 苦难; 难受; 受伤; 心理; 煎熬; 疼痛; 病痛; 苦涩; 难过	13; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	bloed; wonde; ziekenhuis; vallen; verdriet; ziek; ongeluk; hoofdpijn; pijnstiller; angst; auw; hoofd; knie; lijden; ongeval; slecht; zeer; dokter; hard; kanker	18; 16; 13; 12; 8; 8; 6; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3									angustia; sufrimiento; herida; pena; tristeza; llanto; cabeza; muerte; amor; enfermedad; fuerte; golpe; miedo	13; 13; 8; 8; 8; 7; 5; 4; 3; 3; 3; 3; 3									Arzt; Verletzung; Aua; Tabletten; Schmerzmittel; Weh; Wunde; unangenehm; Kopf; Krankheit; Leid; Medikament; Rücken; Tablette; Unfall	7; 7; 6; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	Aua; Wunde; Kopf; Blut; Herz; Körper; Leid; Unfall; Verletzung; Zahn; weh; Trauer; Verlust; leid	11; 8; 6; 5; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3						
painful			痛苦的	疼痛的	惨痛			pijnlijk					doloroso					schmerzhaft					hurt; ouch; cut; injury; sore; hurtful; blood; pain; wound; sharp; unpleasant; ache; bad; bruised; burn; cry; hard; red; agony; Band-Aid	42; 24; 13; 10; 9; 8; 7; 6; 5; 4; 4; 3; 3; 3; 3; 3; 3; 3; 2; 2					教训; 经历; 代价; 回忆; 痛苦; 悲伤; 悲剧; 疼	26; 13; 6; 5; 5; 4; 3; 3					wonde; zeer; verdriet; ziek; ziekte; ongeval; vallen; breuk; gekwetst; pijn; val; bloed; gebroken; erg; verlies; vervelend; afzien; ai; auw; dokter	18; 16; 10; 8; 8; 7; 7; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3									angustia; dolor; penoso; enfermedad; golpe; herida; sufrimiento; triste; sufrir; lastimoso; llanto; muerte; ruptura; tristeza	7; 7; 7; 6; 5; 5; 5; 5; 4; 3; 3; 3; 3; 3									Wunde; Verletzung; Aua; Unfall; Krankheit; Leid; Trauer; Trennung; Schmerz; Tränen; Verlust; Zahnarzt	15; 12; 10; 6; 5; 5; 5; 4; 3; 3; 3; 3								
pale			苍白					bleek					pálido					blass					white; sick; light; skin; wan; ale; face; vampire; ghost; bucket; ill; pasty; sickly; blue; color; comparison; dead; fair; ghostly; pail	56; 18; 16; 14; 11; 10; 10; 7; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	无力; 脸; 脸色; 苍老; 颜色; 生病; 白色; 头发; 惨白; 老人; 血色; 吸血鬼	8; 7; 7; 5; 5; 4; 4; 3; 3; 3; 3; 2									ziek; wit; ongezond; licht; ziekelijk; gezicht; grauw; huid; angst; flauw; lijk; onwel; vaal; blijken; kleurloos; mager; misselijk; niet donker	63; 62; 11; 10; 7; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3									blanco; enfermo; débil; frío; papel; anemico; asustado; descolorido; descompuesto; enfermedad; albino; amarillo	41; 18; 5; 5; 4; 3; 3; 3; 3; 3; 2; 2									krank; WEISS; Gesicht; bleich; weiß; farblos; hell; Haut	23; 13; 7; 6; 6; 5; 5; 4								
